source_pack,source_pair,source_tiles,original_ppu_tiles,unified_ppu_tiles,sha1_short,first_source_location
127,$00,$00-$01,$9E-$9F,$9E-$9F,d2e91f867216,127:pair$00
127,$01,$02-$03,$A0-$A1,$A0-$A1,a18decedf14b,127:pair$01
127,$02,$04-$05,$A2-$A3,$A2-$A3,3f6255c872df,127:pair$02
127,$03,$06-$07,$A4-$A5,$A4-$A5,8370a79f6613,127:pair$03
127,$04,$08-$09,$A6-$A7,$A6-$A7,00890a838a19,127:pair$04
127,$05,$0A-$0B,$A8-$A9,$A8-$A9,0c1cd13e65bf,127:pair$05
127,$06,$0C-$0D,$AA-$AB,$AA-$AB,7ad3fe409725,127:pair$06
127,$07,$0E-$0F,$AC-$AD,$AC-$AD,26a2f64450ed,127:pair$07
127,$08,$10-$11,$AE-$AF,$AE-$AF,95770f5e843b,127:pair$08
127,$09,$12-$13,$B0-$B1,$B0-$B1,97aa62bdcfa8,127:pair$09
127,$0A,$14-$15,$B2-$B3,$B2-$B3,607774b967b7,127:pair$0A
127,$0B,$16-$17,$B4-$B5,$B4-$B5,15fe7fded16e,127:pair$0B
127,$0C,$18-$19,$B6-$B7,$B6-$B7,79f69ff7e40d,127:pair$0C
127,$0D,$1A-$1B,$B8-$B9,$B8-$B9,131a0f978905,127:pair$0D
127,$0E,$1C-$1D,$BA-$BB,$BA-$BB,6da28eed9726,127:pair$0E
127,$0F,$1E-$1F,$BC-$BD,$BC-$BD,4af82597b23c,127:pair$0F
127,$10,$20-$21,$BE-$BF,$BE-$BF,90b47403b6a3,127:pair$10
358,$00,$00-$01,$9E-$9F,$C0-$C1,de8a847bff8c,358:pair$00
358,$01,$02-$03,$A0-$A1,$C2-$C3,69a770c82419,358:pair$01
358,$02,$04-$05,$A2-$A3,$C4-$C5,bf09ffbf6842,358:pair$02
358,$03,$06-$07,$A4-$A5,$C6-$C7,bf3e72feff3d,358:pair$03
358,$04,$08-$09,$A6-$A7,$C8-$C9,4b30eb8ca166,358:pair$04
358,$05,$0A-$0B,$A8-$A9,$CA-$CB,46c669120613,358:pair$05
358,$06,$0C-$0D,$AA-$AB,$CC-$CD,cc8f9408a2a4,358:pair$06
358,$07,$0E-$0F,$AC-$AD,$CE-$CF,3dee45f4a361,358:pair$07
358,$08,$10-$11,$AE-$AF,$D0-$D1,ab6215e5ad3e,358:pair$08
358,$09,$12-$13,$B0-$B1,$D2-$D3,a89df372625e,358:pair$09
358,$0A,$14-$15,$B2-$B3,$D4-$D5,e8b0e03217b6,358:pair$0A
358,$0B,$16-$17,$B4-$B5,$D6-$D7,f0c43ee0e604,358:pair$0B
358,$0C,$18-$19,$B6-$B7,$D8-$D9,5bbf4fe5345e,358:pair$0C
358,$0D,$1A-$1B,$B8-$B9,$DA-$DB,4d59d4ffea2d,358:pair$0D
358,$0E,$1C-$1D,$BA-$BB,$DC-$DD,30e28b33776c,358:pair$0E
358,$0F,$1E-$1F,$BC-$BD,$DE-$DF,4ef4091ae988,358:pair$0F
358,$10,$20-$21,$BE-$BF,$E0-$E1,bfb4f160f080,358:pair$10
469,$00,$00-$01,$9E-$9F,$E2-$E3,9485ff8accd1,469:pair$00
469,$01,$02-$03,$A0-$A1,$E4-$E5,95c96f7386b0,469:pair$01
469,$02,$04-$05,$A2-$A3,$E6-$E7,bc52048064c9,469:pair$02
469,$03,$06-$07,$A4-$A5,$E8-$E9,c9c13470c867,469:pair$03
469,$04,$08-$09,$A6-$A7,$EA-$EB,a6809858e2e6,469:pair$04
469,$05,$0A-$0B,$A8-$A9,$CA-$CB,46c669120613,358:pair$05
469,$06,$0C-$0D,$AA-$AB,$CC-$CD,cc8f9408a2a4,358:pair$06
469,$07,$0E-$0F,$AC-$AD,$EC-$ED,1ed78f360fca,469:pair$07
469,$08,$10-$11,$AE-$AF,$EE-$EF,c7d22853f136,469:pair$08
469,$09,$12-$13,$B0-$B1,$F0-$F1,c1b0ce6e2d4b,469:pair$09
469,$0A,$14-$15,$B2-$B3,$F2-$F3,c7ff887ee557,469:pair$0A
469,$0B,$16-$17,$B4-$B5,$F4-$F5,6b8c6b9aef92,469:pair$0B
469,$0C,$18-$19,$B6-$B7,$F6-$F7,7c5b3d1aa3bd,469:pair$0C
469,$0D,$1A-$1B,$B8-$B9,$F8-$F9,c7c344443beb,469:pair$0D
469,$0E,$1C-$1D,$BA-$BB,$FA-$FB,da5fad34ca66,469:pair$0E
469,$0F,$1E-$1F,$BC-$BD,$FC-$FD,c731b9374f27,469:pair$0F
469,$10,$20-$21,$BE-$BF,$FE-$FF,33e458bca345,469:pair$10
