block,tile_index_decimal,tile_index_hex,sha1_short,identical_copy_count,identical_locations
common_uw,0,$00,2b1e0bb1af25,1,common_uw:$00
common_uw,1,$01,c0e80b60a0e3,1,common_uw:$01
common_uw,2,$02,445c9a4f8f4f,1,common_uw:$02
common_uw,3,$03,031bc788cbb7,1,common_uw:$03
common_uw,4,$04,89fc42d1adb2,1,common_uw:$04
common_uw,5,$05,10482ab85882,1,common_uw:$05
common_uw,6,$06,a89b700e5e96,1,common_uw:$06
common_uw,7,$07,11630ae7bb3b,1,common_uw:$07
common_uw,8,$08,f9c1c5cbae3c,1,common_uw:$08
common_uw,9,$09,8f4429884c40,1,common_uw:$09
common_uw,10,$0A,ab50a58a6caa,1,common_uw:$0A
common_uw,11,$0B,05698b390929,1,common_uw:$0B
common_uw,12,$0C,efd867125e89,1,common_uw:$0C
common_uw,13,$0D,081848485521,1,common_uw:$0D
common_uw,14,$0E,2705d98f8216,1,common_uw:$0E
common_uw,15,$0F,1fe4b12790ff,1,common_uw:$0F
regular_127,0,$00,fc361d20b8e0,1,regular_127:$00
regular_127,1,$01,a6cb75c00929,1,regular_127:$01
regular_127,2,$02,e9e5f55e6ca4,1,regular_127:$02
regular_127,3,$03,473d3c24e0ef,1,regular_127:$03
regular_127,4,$04,5ee50456e513,1,regular_127:$04
regular_127,5,$05,930c84d6e76d,1,regular_127:$05
regular_127,6,$06,4398182dec8e,1,regular_127:$06
regular_127,7,$07,9390745d3113,1,regular_127:$07
regular_127,8,$08,eeebd4024297,1,regular_127:$08
regular_127,9,$09,b7ba58b29461,1,regular_127:$09
regular_127,10,$0A,03cfbd6051a2,1,regular_127:$0A
regular_127,11,$0B,407a19b7a564,1,regular_127:$0B
regular_127,12,$0C,e10376f2ba14,1,regular_127:$0C
regular_127,13,$0D,fc8f4cf32d92,1,regular_127:$0D
regular_127,14,$0E,13f084c45add,1,regular_127:$0E
regular_127,15,$0F,bb5d81bd3699,1,regular_127:$0F
